ccam_num,day_num,carcass_age,CORA,TUVU,UNGU,Bird,Great Blue Heron (not scavenging),Deer mouse,Human,Western Fence Lizard,Mule deer (mouth contact),Black phoebe
24,7,3,10050s (~2.79 hours),0s,11232s (~3.12 hours),0s,0s,0s,0s,0s,0s,0s
24,8,3,17731s (~4.93 hours),0s,8866s (~2.46 hours),0s,0s,0s,0s,0s,0s,0s
24,9,3,10644s (~2.96 hours),1774s (~29.57 minutes),11235s (~3.12 hours),0s,0s,0s,0s,0s,0s,0s
24,10,3,5914s (~1.64 hours),0s,7097s (~1.97 hours),0s,0s,0s,0s,0s,0s,0s
24,11,3,7687s (~2.14 hours),591s (~9.85 minutes),6504s (~1.81 hours),0s,0s,0s,0s,0s,0s,0s
25,2,4,1183s (~19.72 minutes),4732s (~1.31 hours),592s (~9.87 minutes),0s,0s,0s,0s,0s,0s,0s
25,3,4,7096s (~1.97 hours),4139s (~1.15 hours),5322s (~1.48 hours),0s,0s,0s,0s,0s,0s,0s
25,4,4,7097s (~1.97 hours),9463s (~2.63 hours),2366s (~39.43 minutes),0s,0s,0s,0s,0s,0s,0s
25,5,4,5913s (~1.64 hours),13008s (~3.61 hours),7687s (~2.14 hours),0s,0s,0s,0s,0s,0s,0s
25,6,4,0s,1800s (~30 minutes),12600s (~3.5 hours),0s,0s,0s,0s,0s,0s,0s
27,1,3,11222s (~3.12 hours),4134s (~1.15 hours),1181s (~19.68 minutes),0s,0s,0s,0s,0s,0s,0s
27,2,3,17105s (~4.75 hours),4719s (~1.31 hours),22414s (~6.23 hours),0s,0s,0s,0s,0s,0s,0s
27,3,3,10964s (~3.05 hours),0s,9137s (~2.54 hours),0s,0s,0s,0s,0s,0s,0s
27,4,3,14776s (~4.1 hours),591s (~9.85 minutes),2364s (~39.4 minutes),0s,0s,0s,0s,0s,0s,0s
27,5,3,3546s (~59.1 minutes),2364s (~39.4 minutes),0s,0s,0s,0s,0s,0s,0s,0s
27,6,3,5319s (~1.48 hours),0s,3546s (~59.1 minutes),0s,0s,0s,0s,0s,0s,0s
27,7,3,9452s (~2.63 hours),0s,2363s (~39.38 minutes),0s,0s,0s,0s,0s,0s,0s
27,8,3,5485s (~1.52 hours),0s,609s (~10.15 minutes),0s,0s,0s,0s,0s,0s,0s
28,1,3,18900s (~5.25 hours),2953s (~49.22 minutes),12403s (~3.45 hours),0s,0s,0s,0s,0s,0s,0s
28,2,3,18285s (~5.08 hours),4129s (~1.15 hours),14746s (~4.1 hours),0s,0s,0s,0s,0s,0s,0s
28,3,3,20100s (~5.58 hours),591s (~9.85 minutes),23648s (~6.57 hours),0s,0s,0s,0s,0s,0s,0s
28,4,3,18918s (~5.26 hours),6503s (~1.81 hours),23648s (~6.57 hours),0s,0s,0s,0s,0s,0s,0s
28,5,3,14189s (~3.94 hours),3547s (~59.12 minutes),6503s (~1.81 hours),0s,0s,0s,0s,0s,0s,0s
28,6,3,5911s (~1.64 hours),591s (~9.85 minutes),3546s (~59.1 minutes),0s,0s,0s,0s,0s,0s,0s
28,7,3,18910s (~5.25 hours),0s,2955s (~49.25 minutes),0s,0s,0s,0s,0s,0s,0s
28,8,3,4138s (~1.15 hours),0s,2365s (~39.42 minutes),0s,0s,0s,0s,0s,0s,0s
